"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"c_0001";"ALTER";"GESCHLECHT";"BILDUNG";"LAND";"LAND_2";"BLUTSPENDEVERHALTEN";"BLUTSPENDEORGANISATION";"BLUTSPENDEORGANISATION_2";"AMOTIVATION_1";"AMOTIVATION_2";"AMOTIVATION_3";"EXTERNAL_REGULATION_1";"EXTERNAL_REGULATION_2";"EXTERNAL_REGULATION_3";"INTROJECTED_REGULATION_1";"INTROJECTED_REGULATION_2";"ATTENTION_CHECK";"INTROJECTED_REGULATION_3";"IDENTIFIED_REGUALTION_1";"IDENTIFIED_REGUALTION_2";"IDENTIFIED_REGUALTION_3";"INTEGRATED_REGULATION_1";"INTEGRATED_REGULATION_2";"INTEGRATED_REGULATION_3";"INTRINSIC_REGUALTION_1";"INTRINSIC_REGUALTION_2";"INTRINSIC_REGUALTION_3";"INTENTION_1";"INTENTION_2";"INTENTION_3";"browser";"referer";"device_type";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts6889058";"rts6889146";"rts6889149";"rts6891057";"rts6891082";"rts6891085";"rts6891089";"rts6891115";"rts6891152"
"1";"0";"0";"31";"6888322";"-77";"2422";"3";"32";"1";"6";"1";"-99";"2";"-77";"-66";"3";"7";"2";"1";"1";"3";"2";"4";"1";"1";"7";"7";"6";"3";"6";"4";"1";"5";"2";"2";"5";"3";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"56e93ce46eeaae5210596203c9fb75f0";"1";"0";"1708511361";"2024-02-21 10:29:21";"2024-02-21 11:09:43";"0000-00-00 00:00:00";"2126";"0";"2352";"2355";"0";"0";"2358";"2416";"2422"
"2";"0";"0";"31";"6888322";"-77";"201";"2";"26";"2";"5";"1";"-99";"1";"1";"-99";"3";"3";"5";"3";"6";"3";"3";"3";"1";"5";"5";"5";"3";"5";"5";"3";"5";"3";"5";"5";"4";"4";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"0";"0";"0";"-77";"-77";"9f82758e6b9f6cbf4f0137c14aca9c05";"1";"0";"1709334961";"2024-03-01 23:16:01";"2024-03-01 23:19:22";"0000-00-00 00:00:00";"33";"37";"151";"154";"0";"171";"0";"187";"201"
"506";"0";"1";"31";"6888322";"-77";"0";"1";"52";"3";"6";"1";"-99";"2";"-77";"-66";"6";"7";"2";"5";"4";"2";"5";"5";"4";"1";"1";"3";"3";"4";"7";"6";"3";"1";"2";"4";"3";"3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"1";"1";"0";"-77";"-77";"648d058ffe21d52ee76a3cfafd92594a";"1";"0";"1709334442";"2024-03-01 23:07:22";"2024-03-01 23:07:22";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"507";"0";"1";"31";"6888322";"-77";"0";"2";"26";"4";"1";"1";"-99";"1";"3";"-99";"5";"1";"7";"1";"3";"1";"4";"6";"2";"5";"7";"7";"5";"7";"6";"7";"6";"1";"4";"3";"2";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"6d1c41ec4591089d1b9202a389246c17";"1";"0";"1709334443";"2024-03-01 23:07:23";"2024-03-01 23:07:23";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"508";"0";"1";"31";"6888322";"-77";"0";"1";"55";"4";"2";"4";"Testtext A+T";"1";"3";"-99";"1";"1";"5";"5";"7";"3";"4";"6";"7";"6";"7";"4";"1";"2";"2";"5";"7";"2";"5";"3";"2";"3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"0";"0";"0";"-77";"-77";"d9aed799dd8dd39a4422b006d434171c";"1";"0";"1709334443";"2024-03-01 23:07:23";"2024-03-01 23:07:23";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"509";"0";"1";"31";"6888322";"-77";"0";"2";"44";"4";"5";"1";"-99";"2";"-77";"-66";"3";"7";"4";"3";"2";"4";"2";"2";"1";"7";"7";"4";"7";"4";"6";"2";"5";"3";"1";"3";"5";"7";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"1";"1";"0";"-77";"-77";"69e150de799a1776340ba9d0549f0bf0";"1";"0";"1709334443";"2024-03-01 23:07:23";"2024-03-01 23:07:23";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"510";"0";"1";"31";"6888322";"-77";"1";"3";"44";"1";"2";"3";"-99";"1";"3";"-99";"7";"2";"4";"7";"4";"2";"5";"5";"4";"3";"6";"1";"3";"7";"1";"4";"2";"7";"3";"3";"3";"7";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"14849d34f2799830adf24505101bed8c";"1";"0";"1709334443";"2024-03-01 23:07:23";"2024-03-01 23:07:24";"0000-00-00 00:00:00";"0";"0";"0";"1";"0";"0";"1";"1";"1"
"511";"0";"1";"31";"6888322";"-77";"0";"1";"5";"2";"2";"3";"-99";"3";"-77";"-66";"5";"1";"3";"2";"5";"1";"7";"5";"1";"3";"5";"5";"3";"1";"5";"5";"1";"4";"4";"7";"2";"7";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"0";"0";"0";"-77";"-77";"1a2a26300e793facfd417e30a3e29aa3";"1";"0";"1709334444";"2024-03-01 23:07:24";"2024-03-01 23:07:24";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"512";"0";"1";"31";"6888322";"-77";"0";"2";"4";"4";"5";"2";"-99";"3";"-77";"-66";"6";"1";"7";"4";"4";"1";"7";"2";"3";"2";"4";"2";"3";"2";"3";"1";"2";"4";"6";"6";"3";"4";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"0";"0";"0";"-77";"-77";"d4b5d65873c24a95539c86c5fbfee626";"1";"0";"1709334444";"2024-03-01 23:07:24";"2024-03-01 23:07:24";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"513";"0";"1";"31";"6888322";"-77";"1";"3";"91";"4";"2";"3";"-99";"2";"-77";"-66";"1";"1";"7";"7";"7";"6";"2";"5";"2";"6";"3";"6";"3";"2";"7";"4";"4";"2";"5";"6";"4";"2";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"1";"1";"0";"-77";"-77";"65a5f21ec3d229b937596956665e792e";"1";"0";"1709334444";"2024-03-01 23:07:24";"2024-03-01 23:07:25";"0000-00-00 00:00:00";"1";"0";"1";"1";"0";"0";"1";"1";"1"
