"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"c_0001";"ALTER";"GESCHLECHT";"BILDUNG";"LAND";"LAND_2";"BLUTSPENDEVERHALTEN";"BLUTSPENDEORGANISATION";"BLUTSPENDEORGANISATION_2";"AMOTIVATION_1";"AMOTIVATION_2";"AMOTIVATION_3";"EXTERNAL_REGULATION_1";"EXTERNAL_REGULATION_2";"EXTERNAL_REGULATION_3";"INTROJECTED_REGULATION_1";"INTROJECTED_REGULATION_2";"ATTENTION_CHECK";"INTROJECTED_REGULATION_3";"IDENTIFIED_REGUALTION_1";"IDENTIFIED_REGUALTION_2";"IDENTIFIED_REGUALTION_3";"INTEGRATED_REGULATION_1";"INTEGRATED_REGULATION_2";"INTEGRATED_REGULATION_3";"INTRINSIC_REGUALTION_1";"INTRINSIC_REGUALTION_2";"INTRINSIC_REGUALTION_3";"INTENTION_1";"INTENTION_2";"INTENTION_3";"browser";"referer";"device_type";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts6889058";"rts6889146";"rts6889149";"rts6891057";"rts6891082";"rts6891085";"rts6891089";"rts6891115"
"1612";"0";"0";"31";"6888322";"-77";"390";"2";"54";"1";"7";"1";"-99";"1";"1";"-99";"5";"4";"1";"1";"1";"7";"1";"6";"1";"4";"4";"7";"7";"4";"4";"4";"6";"7";"1";"1";"1";"1";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"eddcd1ca35984e179b934f595df4e110";"1";"0";"1710718372";"2024-03-17 23:32:52";"2024-03-17 23:39:22";"0000-00-00 00:00:00";"53";"60";"290";"295";"0";"310";"0";"334"
"1613";"0";"0";"31";"6888322";"-77";"177";"3";"26";"1";"5";"1";"-99";"2";"-77";"-66";"1";"4";"1";"1";"1";"1";"2";"5";"1";"2";"5";"7";"7";"5";"2";"5";"4";"5";"1";"1";"1";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"https://www.surveycircle.com/";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"273c0b787624ad63f5c03bf2dbb229e3";"1";"0";"1710718467";"2024-03-17 23:34:27";"2024-03-17 23:37:24";"0000-00-00 00:00:00";"14";"0";"104";"116";"0";"0";"119";"137"
"1614";"0";"0";"31";"6888322";"-77";"432";"1";"22";"1";"5";"1";"-99";"2";"-77";"-66";"6";"7";"3";"1";"1";"1";"1";"2";"1";"1";"1";"7";"7";"6";"1";"4";"1";"7";"1";"1";"1";"1";"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6889058,6889058,6889145,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"10445e4df01c5ef343a40208d09552c2";"1";"0";"1710719087";"2024-03-17 23:44:47";"2024-03-17 23:51:59";"0000-00-00 00:00:00";"127";"0";"355";"357";"374";"0";"0";"395"
"1615";"0";"0";"31";"6888322";"-77";"330";"3";"25";"2";"4";"1";"-99";"1";"4";"Haema";"3";"5";"2";"2";"1";"3";"2";"4";"1";"4";"5";"6";"4";"3";"4";"4";"3";"3";"1";"1";"1";"1";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"1";"1";"0";"-77";"-77";"01e1d9e8ad4b841f519607600b4d5915";"1";"0";"1710719221";"2024-03-17 23:47:01";"2024-03-17 23:52:32";"0000-00-00 00:00:00";"60";"71";"267";"271";"0";"0";"287";"302"
"1617";"0";"0";"31";"6888322";"-77";"180";"2";"22";"1";"4";"1";"-99";"2";"-77";"-66";"5";"5";"4";"3";"3";"3";"2";"2";"1";"3";"3";"7";"6";"2";"2";"6";"4";"4";"1";"3";"3";"3";"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0.1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"6889058,6889058,6889058,6889145,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"65a8402b92a1116694c93db2ce5c62aa";"1";"0";"1710747549";"2024-03-18 07:39:09";"2024-03-18 07:42:09";"0000-00-00 00:00:00";"26";"0";"127";"129";"0";"139";"0";"167"
"1619";"0";"0";"31";"6888322";"-77";"202";"1";"22";"1";"4";"1";"-99";"1";"4";"Heama";"2";"6";"4";"4";"3";"2";"2";"2";"1";"4";"3";"5";"6";"2";"4";"2";"2";"2";"1";"2";"2";"2";"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"41ca6338a812e00357bf677f097e7e81";"1";"0";"1710755942";"2024-03-18 09:59:02";"2024-03-18 10:02:24";"0000-00-00 00:00:00";"36";"49";"158";"160";"172";"0";"0";"195"
"1622";"0";"0";"31";"6888322";"-77";"110";"2";"23";"1";"5";"1";"-99";"2";"-77";"-66";"6";"5";"1";"1";"1";"1";"1";"1";"1";"1";"7";"7";"7";"1";"6";"1";"1";"1";"1";"1";"1";"1";"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/20B110 Instagram 322.1.1.25.88 (iPhone14,5; iOS 16_1_2; de_US; de; scale=3.00; 1170x2532; 575967800)";"https://l.instagram.com/";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"1";"1";"0";"-77";"-77";"17fad01452f3c382756561286cff54f6";"1";"0";"1710759373";"2024-03-18 10:56:13";"2024-03-18 10:58:03";"0000-00-00 00:00:00";"15";"0";"87";"90";"0";"96";"0";"105"
"1624";"0";"0";"31";"6888322";"-77";"290";"1";"25";"1";"5";"1";"-99";"2";"-77";"-66";"4";"5";"3";"5";"4";"4";"5";"5";"1";"5";"4";"7";"5";"4";"3";"3";"4";"4";"4";"5";"5";"5";"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E219 Instagram 322.1.1.25.88 (iPhone14,5; iOS 17_4; de_DE; de; scale=3.00; 1170x2532; 575967800)";"https://l.instagram.com/";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"0";"0";"0";"-77";"-77";"d2c204716c1a387569081e6ac74ebaaf";"1";"0";"1710759534";"2024-03-18 10:58:54";"2024-03-18 11:03:44";"0000-00-00 00:00:00";"13";"0";"222";"225";"241";"0";"0";"260"
"1625";"0";"0";"31";"6888322";"-77";"291";"2";"25";"2";"6";"1";"-99";"2";"-77";"-66";"4";"7";"4";"3";"3";"1";"2";"5";"1";"2";"2";"7";"7";"4";"1";"2";"1";"4";"1";"2";"2";"2";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"e3696d10d7e2cf8550b473a46276e2e9";"1";"0";"1710759566";"2024-03-18 10:59:26";"2024-03-18 11:04:17";"0000-00-00 00:00:00";"50";"0";"233";"235";"0";"245";"0";"278"
"1629";"0";"0";"31";"6888322";"-77";"230";"1";"24";"1";"5";"1";"-99";"1";"4";"Hema";"2";"4";"1";"3";"1";"7";"2";"5";"1";"5";"5";"7";"7";"4";"5";"5";"1";"5";"3";"6";"6";"6";"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21B91 Instagram 322.1.1.25.88 (iPhone14,2; iOS 17_1_1; de_DE; de; scale=3.00; 1170x2532; 575967800) NW/3";"https://l.instagram.com/";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"1243732d725f2b5b5a2d5895eed93f78";"1";"0";"1710760080";"2024-03-18 11:08:00";"2024-03-18 11:11:50";"0000-00-00 00:00:00";"17";"39";"175";"178";"192";"0";"0";"217"
