c_0001;ALTER;GESCHLECHT;BILDUNG;LAND;LAND_2;BLUTSPENDEVERHALTEN;BLUTSPENDEORGANISATION;BLUTSPENDEORGANISATION_2;AMOTIVATION_1;AMOTIVATION_2;AMOTIVATION_3;EXTERNAL_REGULATION_1;EXTERNAL_REGULATION_2;EXTERNAL_REGULATION_3;INTROJECTED_REGULATION_1;INTROJECTED_REGULATION_2;ATTENTION_CHECK;INTROJECTED_REGULATION_3;IDENTIFIED_REGUALTION_1;IDENTIFIED_REGUALTION_2;IDENTIFIED_REGUALTION_3;INTEGRATED_REGULATION_1;INTEGRATED_REGULATION_2;INTEGRATED_REGULATION_3;INTRINSIC_REGUALTION_1;INTRINSIC_REGUALTION_2;INTRINSIC_REGUALTION_3;INTENTION_1;INTENTION_2;INTENTION_3;;;;;;;;;;;;;;;;;;
2;54;1;7;1;-99;1;1;-99;5;4;1;1;1;7;1;6;1;4;4;7;7;4;4;4;6;7;1;1;1;1;;;;;;;;;;;;;;;;;;
3;26;1;5;1;-99;2;-77;-66;1;4;1;1;1;1;2;5;1;2;5;7;7;5;2;5;4;5;1;1;1;1;;;;;;;;;;;;;;;;;;
1;22;1;5;1;-99;2;-77;-66;6;7;3;1;1;1;1;2;1;1;1;7;7;6;1;4;1;7;1;1;1;1;;;;;;;;;;;;;;;;;;
3;25;2;4;1;-99;1;4;Haema;3;5;2;2;1;3;2;4;1;4;5;6;4;3;4;4;3;3;1;1;1;1;;;;;;;;;;;;;;;;;;
2;22;1;4;1;-99;2;-77;-66;5;5;4;3;3;3;2;2;1;3;3;7;6;2;2;6;4;4;1;3;3;3;;;;;;;;;;;;;;;;;;
1;22;1;4;1;-99;1;4;Heama;2;6;4;4;3;2;2;2;1;4;3;5;6;2;4;2;2;2;1;2;2;2;;;;;;;;;;;;;;;;;;
2;23;1;5;1;-99;2;-77;-66;6;5;1;1;1;1;1;1;1;1;7;7;7;1;6;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;
1;25;1;5;1;-99;2;-77;-66;4;5;3;5;4;4;5;5;1;5;4;7;5;4;3;3;4;4;4;5;5;5;;;;;;;;;;;;;;;;;;
2;25;2;6;1;-99;2;-77;-66;4;7;4;3;3;1;2;5;1;2;2;7;7;4;1;2;1;4;1;2;2;2;;;;;;;;;;;;;;;;;;
1;24;1;5;1;-99;1;4;Hema;2;4;1;3;1;7;2;5;1;5;5;7;7;4;5;5;1;5;3;6;6;6;;;;;;;;;;;;;;;;;;
2;28;1;5;1;-99;2;-77;-66;5;6;7;1;1;1;4;4;1;1;5;7;7;1;4;7;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;
1;22;1;4;1;-99;2;-77;-66;1;4;1;1;1;1;3;5;1;5;6;7;7;2;1;4;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;
2;25;1;5;1;-99;2;-77;-66;1;3;1;4;1;1;3;2;1;1;5;7;7;3;1;3;7;5;1;1;7;1;;;;;;;;;;;;;;;;;;
2;25;1;6;1;-99;2;-77;-66;1;3;5;2;1;3;1;5;1;7;7;7;7;5;5;7;3;5;4;7;7;7;;;;;;;;;;;;;;;;;;
3;24;2;5;1;-99;2;-77;-66;2;5;2;2;2;1;6;6;1;5;7;7;7;3;6;4;3;5;2;6;7;7;;;;;;;;;;;;;;;;;;
3;21;1;4;1;-99;2;-77;-66;3;3;4;4;3;2;2;4;1;2;5;7;7;5;5;4;2;5;4;1;1;1;;;;;;;;;;;;;;;;;;
2;53;1;2;1;-99;2;-77;-66;1;2;3;1;1;2;2;2;1;3;6;6;6;3;4;3;5;6;2;6;6;6;;;;;;;;;;;;;;;;;;
2;25;1;6;1;-99;2;-77;-66;6;6;4;1;1;1;1;6;1;1;2;7;7;3;3;7;1;4;1;1;1;1;;;;;;;;;;;;;;;;;;
3;25;1;4;1;-99;1;1;-99;1;1;5;1;1;2;6;7;1;6;5;6;7;5;4;6;6;5;6;7;7;7;;;;;;;;;;;;;;;;;;
1;24;1;5;1;-99;2;-77;-66;1;3;3;1;1;1;7;7;1;4;6;7;7;2;4;2;1;4;1;2;4;4;;;;;;;;;;;;;;;;;;
2;59;2;7;1;-99;1;1;-99;1;6;2;1;1;1;3;2;1;5;7;7;7;3;5;3;2;5;1;3;3;3;;;;;;;;;;;;;;;;;;
3;60;1;6;1;-99;1;1;-99;1;7;1;1;1;1;1;1;1;1;1;7;7;1;7;1;7;1;1;1;1;1;;;;;;;;;;;;;;;;;;
1;25;1;6;1;-99;1;3;-99;1;4;3;4;4;4;5;5;1;6;5;7;7;5;6;5;3;5;3;6;6;6;;;;;;;;;;;;;;;;;;
3;22;2;4;3;-99;2;-77;-66;1;6;2;2;2;2;5;2;1;2;6;6;6;6;2;6;6;3;3;2;2;2;;;;;;;;;;;;;;;;;;
1;28;2;6;1;-99;1;1;-99;2;6;2;2;3;1;5;5;1;5;5;7;6;2;7;4;5;4;2;3;5;4;;;;;;;;;;;;;;;;;;
2;28;1;5;1;-99;1;1;-99;1;7;1;5;7;1;1;1;1;1;4;7;7;1;5;4;1;1;1;5;6;5;;;;;;;;;;;;;;;;;;
2;30;1;5;1;-99;1;4;Haema;2;4;2;1;1;1;2;2;1;3;2;6;5;4;5;4;5;2;2;6;6;6;;;;;;;;;;;;;;;;;;
3;20;1;4;1;-99;2;-77;-66;1;2;1;1;1;1;3;5;1;7;7;7;7;1;7;5;5;7;1;7;7;7;;;;;;;;;;;;;;;;;;
3;21;1;4;1;-99;2;-77;-66;2;2;3;3;3;4;4;6;1;6;5;7;6;5;3;5;4;5;4;7;7;7;;;;;;;;;;;;;;;;;;
2;24;3;5;1;-99;2;-77;-66;1;4;1;1;1;4;7;7;1;7;7;7;7;7;7;7;7;7;4;1;7;1;;;;;;;;;;;;;;;;;;
1;22;2;4;1;-99;1;4;CSL Plasma;1;5;2;6;1;2;3;2;1;5;7;7;7;3;5;2;3;2;1;5;2;2;;;;;;;;;;;;;;;;;;
1;33;2;6;1;-99;1;1;-99;1;2;4;1;1;1;1;2;1;2;3;7;7;3;5;4;1;6;5;7;7;7;;;;;;;;;;;;;;;;;;
2;22;2;5;1;-99;1;1;-99;3;5;2;7;7;7;3;3;1;4;5;5;6;4;5;6;5;2;6;5;5;6;;;;;;;;;;;;;;;;;;
3;23;1;5;1;-99;2;-77;-66;2;6;7;1;1;2;6;5;1;4;6;6;7;5;6;4;4;6;1;7;7;7;;;;;;;;;;;;;;;;;;
1;24;1;5;1;-99;2;-77;-66;1;3;6;1;1;1;6;7;1;6;5;7;7;6;7;3;3;4;1;1;1;1;;;;;;;;;;;;;;;;;;
2;24;1;5;1;-99;1;4;Blutspendezentrum Suhl (ITMS);2;3;2;5;4;4;3;4;1;3;6;7;7;6;5;5;5;6;4;5;6;5;;;;;;;;;;;;;;;;;;
3;22;1;4;1;-99;2;-77;-66;1;4;6;2;1;2;2;1;1;6;5;7;6;6;4;4;3;5;2;7;7;7;;;;;;;;;;;;;;;;;;
3;22;1;5;1;-99;1;1;-99;1;3;2;1;1;2;6;5;1;4;5;7;7;3;5;6;4;5;2;3;5;3;;;;;;;;;;;;;;;;;;
3;26;1;7;1;-99;1;4;Uniklinikum ;1;4;1;4;2;4;5;7;1;6;7;7;7;4;5;6;7;5;5;7;7;7;;;;;;;;;;;;;;;;;;
2;23;1;4;1;-99;2;-77;-66;1;7;1;1;1;1;1;4;1;1;7;7;7;7;7;7;1;7;4;1;7;7;;;;;;;;;;;;;;;;;;
1;23;2;4;1;-99;1;1;-99;3;6;7;6;5;3;1;2;1;5;7;5;7;5;4;3;7;6;1;7;7;7;;;;;;;;;;;;;;;;;;
2;25;1;5;1;-99;2;-77;-66;1;5;2;1;1;1;1;6;1;4;6;5;7;4;4;5;4;5;1;3;6;4;;;;;;;;;;;;;;;;;;
1;25;1;4;1;-99;1;4;Universitätsmedizin Göttingen;1;5;1;7;1;1;3;5;1;5;5;7;7;4;5;5;7;6;4;1;1;1;;;;;;;;;;;;;;;;;;
3;25;2;5;1;-99;2;-77;-66;2;5;2;1;4;1;4;5;1;4;4;7;6;4;6;4;4;3;2;2;2;2;;;;;;;;;;;;;;;;;;
1;25;1;5;1;-99;2;-77;-66;4;6;3;1;1;2;4;5;1;3;3;6;6;3;3;2;1;5;1;1;1;1;;;;;;;;;;;;;;;;;;
2;21;1;4;1;-99;1;3;-99;3;6;1;5;5;1;2;5;1;3;3;7;5;4;6;2;2;6;1;2;4;2;;;;;;;;;;;;;;;;;;
2;29;1;5;1;-99;1;1;-99;1;5;3;6;2;4;1;4;1;5;6;7;6;3;4;7;5;4;1;7;7;7;;;;;;;;;;;;;;;;;;
1;24;1;6;1;-99;1;1;-99;2;3;3;3;5;3;5;5;1;5;6;6;7;3;4;3;2;2;3;3;5;5;;;;;;;;;;;;;;;;;;
3;25;1;5;1;-99;2;-77;-66;5;5;5;1;1;1;1;2;1;2;5;7;7;2;2;2;2;2;1;2;2;2;;;;;;;;;;;;;;;;;;
